currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USDT,BTC,RSI,0.00,-7.18,0.00,7.18,0.67,100.00,0.63,0.36,0.09,n/a,1335,10,73,6,,,10693.97,11461.8,10525,11720.01,11055.13304018,3.1,44082,,534264,2020-10-06 12:09:00,2020-10-13 04:16:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTC,MACD,0.00,-7.18,0.00,7.18,14.00,12.20,2.61,2.25,-0.73,-0.35,106,10,73,6,,,10693.97,11461.8,10525,11720.01,11055.13304018,3.1,44082,,534264,2020-10-06 12:09:00,2020-10-13 04:16:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,RSI,0.00,-7.18,0.00,7.18,0.67,100.00,0.63,0.36,0.09,n/a,1335,10,73,6,,,10693.97,11461.8,10525,11720.01,11055.13304018,3.1,44082,,534264,2020-10-06 12:09:00,2020-10-13 04:16:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,ETH,RSI,0.00,-11.15,0.00,11.15,1.00,66.67,2.94,2.05,-1.65,-1.65,1523,10,73,6,,,345.57,384.27,332.18,394.8,360.56893163,4.6,623135,,186798,2020-10-06 12:09:00,2020-10-13 06:04:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BNB,RSI,0.00,-11.28,0.00,11.28,1.00,33.33,0.48,0.48,-2.08,-1.29,1166,10,73,6,,,28.1828,31.382,26.4999,31.7999,28.38104184,3.8,2819591,,188594,2020-10-06 12:09:00,2020-10-13 06:11:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,COMP,RSI,0.00,-9.11,0.00,9.11,1.50,100.00,6.54,3.3,0.40,n/a,865,10,73,6,,,107.74,117.66,101.16,123.4,111.56165373,4.1,51476,,23137,2020-10-06 12:09:00,2020-10-13 06:41:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTC,MACD,0.00,-7.18,0.00,7.18,14.00,12.20,2.61,2.25,-0.73,-0.35,106,10,73,6,,,10693.97,11461.8,10525,11720.01,11055.13304018,3.1,44082,,534264,2020-10-06 12:09:00,2020-10-13 04:16:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BNB,MACD,0.00,-11.28,0.00,11.28,4.83,42.86,2.31,0.6,-2.74,-1.4,252,10,73,6,,,28.1828,31.382,26.4999,31.7999,28.38104184,3.8,2819591,,188594,2020-10-06 12:09:00,2020-10-13 06:11:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,COMP,MACD,0.00,-9.11,0.00,9.11,11.33,30.30,6.82,1.57,-4.28,-1.33,154,10,73,6,,,107.74,117.66,101.16,123.4,111.56165373,4.1,51476,,23137,2020-10-06 12:09:00,2020-10-13 06:41:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,ETH,MACD,0.00,-11.15,0.00,11.15,11.00,34.38,5.03,0.24,-1.52,-0.58,142,10,73,6,,,345.57,384.27,332.18,394.8,360.56893163,4.6,623135,,186798,2020-10-06 12:09:00,2020-10-13 06:04:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
